# Beta-delayed neutron emission probabilities dataset.
# Code: BeoH [3.5.0]
# Each row indicates data for an individual nucleus with proton number (Z), neutron number (N) and atomic mass (A).
# The middle columns give the j-neutron emission probabilities denoted by Pjn.
# The third to last column denotes the average neutron emission energy, <E_n>, in MeV.
# The second to last column denotes the neutron multiplicity after beta-decay, <n>.
# The last column denotes whether AME2012 masses (1) or FRDM2012 masses (0) were used.
#
#   Z   N  A  P0n  P1n  P2n  P3n  P4n  P5n  P6n  P7n  P8n  P9n  P10n <E_n> <n>  exp
# =================================================================================
 11  33  44 0.00 0.01 0.01 0.02 0.13 0.06 0.45 0.07 0.22 0.02 0.01 2.39 6.14   0
 11  34  45 0.00 0.00 0.01 0.02 0.03 0.17 0.06 0.47 0.05 0.17 0.02 2.41 6.83   0
 11  35  46 0.00 0.01 0.00 0.02 0.03 0.05 0.19 0.07 0.42 0.05 0.16 2.45 7.48   0
 11  36  47 0.00 0.00 0.01 0.00 0.02 0.04 0.05 0.22 0.07 0.42 0.17 2.47 8.18   0
 11  37  48 0.00 0.00 0.00 0.01 0.00 0.02 0.04 0.05 0.21 0.06 0.61 2.57 9.04   0
 11  38  49 0.00 0.00 0.00 0.00 0.01 0.01 0.03 0.05 0.06 0.22 0.62 2.61 9.28   0
 11  39  50 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.02 0.04 0.04 0.89 2.76 9.77   0
 11  40  51 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.03 0.05 0.90 2.79 9.82   0
 11  41  52 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.02 0.97 2.92 9.95   0
 11  42  53 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.98 2.94 9.97   0
 11  43  54 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.99 3.10 9.99   0
 11  44  55 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 3.06 10.00  0
 12  15  27 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00   1
 12  16  28 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00   1
 12  17  29 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00   1
 12  18  30 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00   1
 12  19  31 0.99 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.72 0.01   1
 12  20  32 0.88 0.12 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.76 0.12   1
 12  21  33 0.62 0.38 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.88 0.38   1
 12  22  34 0.73 0.27 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.88 0.27   1
 12  23  35 0.65 0.32 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.01 0.38   1
 12  24  36 0.46 0.53 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.11 0.55   1
 12  25  37 0.27 0.57 0.16 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.22 0.89   0
 12  26  38 0.09 0.81 0.09 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.39 1.02   0
 12  27  39 0.16 0.50 0.32 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.35 1.20   0
 12  28  40 0.19 0.61 0.14 0.06 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.61 1.07   0
 12  29  41 0.03 0.28 0.52 0.12 0.05 0.00 0.00 0.00 0.00 0.00 0.00 1.94 1.88   0
 12  30  42 0.00 0.21 0.44 0.30 0.04 0.01 0.00 0.00 0.00 0.00 0.00 2.12 2.20   0
 12  31  43 0.01 0.03 0.38 0.34 0.20 0.03 0.01 0.00 0.00 0.00 0.00 2.22 2.82   0
 12  32  44 0.00 0.06 0.07 0.44 0.29 0.13 0.01 0.00 0.00 0.00 0.00 2.26 3.39   0
 12  33  45 0.00 0.01 0.08 0.07 0.45 0.26 0.12 0.01 0.00 0.00 0.00 2.35 4.27   0
 12  34  46 0.00 0.02 0.04 0.19 0.11 0.44 0.15 0.05 0.00 0.00 0.00 2.22 4.56   0
 12  35  47 0.00 0.01 0.02 0.06 0.23 0.11 0.40 0.13 0.04 0.00 0.00 2.25 5.33   0
 12  36  48 0.00 0.01 0.03 0.04 0.08 0.29 0.09 0.35 0.09 0.02 0.00 2.20 5.85   0
 12  37  49 0.00 0.01 0.01 0.02 0.03 0.06 0.25 0.10 0.37 0.11 0.04 2.34 7.06   0
 12  38  50 0.00 0.00 0.00 0.01 0.03 0.04 0.07 0.30 0.08 0.37 0.10 2.27 7.84   0
 12  39  51 0.00 0.00 0.00 0.00 0.01 0.03 0.03 0.07 0.29 0.09 0.48 2.35 8.79   0
 12  40  52 0.00 0.00 0.00 0.00 0.00 0.01 0.04 0.04 0.07 0.31 0.53 2.33 9.22   0
 12  41  53 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.03 0.03 0.07 0.86 2.50 9.74   0
 12  42  54 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.03 0.04 0.92 2.52 9.87   0
 12  43  55 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.03 0.96 2.69 9.95   0
 12  44  56 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.99 2.66 9.99   0
 12  45  57 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.99 2.72 9.91   0
 12  46  58 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.74 10.00  0
 12  47  59 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.84 10.00  0
 13  15  28 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00   1
 13  16  29 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00   1
 13  17  30 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00   1
 13  18  31 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00   1
 13  19  32 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00   1
 13  20  33 0.95 0.05 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.19 0.05   1
 13  21  34 0.94 0.06 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.31 0.06   1
 13  22  35 0.84 0.16 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.86 0.16   1
 13  23  36 0.84 0.14 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.21 0.18   1
 13  24  37 0.78 0.21 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.33 0.23   1
 13  25  38 0.70 0.24 0.06 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.22 0.36   1
 13  26  39 0.14 0.82 0.03 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.15 0.91   0
 13  27  40 0.21 0.59 0.20 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.44 0.99   0
 13  28  41 0.27 0.63 0.08 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.63 0.85   0
 13  29  42 0.10 0.48 0.36 0.05 0.01 0.00 0.00 0.00 0.00 0.00 0.00 2.01 1.39   0
 13  30  43 0.00 0.42 0.38 0.19 0.01 0.00 0.00 0.00 0.00 0.00 0.00 2.39 1.79   0
 13  31  44 0.01 0.06 0.52 0.29 0.11 0.01 0.00 0.00 0.00 0.00 0.00 2.50 2.46   0
 13  32  45 0.00 0.12 0.12 0.55 0.17 0.04 0.00 0.00 0.00 0.00 0.00 2.48 2.89   0
 13  33  46 0.00 0.03 0.26 0.13 0.48 0.08 0.02 0.00 0.00 0.00 0.00 2.45 3.38   0
 13  34  47 0.00 0.05 0.08 0.35 0.10 0.36 0.05 0.01 0.00 0.00 0.00 2.45 3.83   0
 13  35  48 0.00 0.02 0.08 0.08 0.35 0.09 0.33 0.04 0.01 0.00 0.00 2.52 4.61   0
 13  36  49 0.00 0.02 0.04 0.14 0.10 0.39 0.06 0.23 0.02 0.00 0.00 2.47 5.00   0
 13  37  50 0.00 0.01 0.02 0.04 0.15 0.10 0.38 0.06 0.22 0.02 0.00 2.52 5.91   0
 13  38  51 0.00 0.01 0.02 0.05 0.06 0.22 0.09 0.34 0.05 0.15 0.01 2.45 6.31   0
 13  39  52 0.00 0.00 0.00 0.01 0.04 0.06 0.21 0.10 0.37 0.04 0.17 2.50 7.47   0
 13  40  53 0.00 0.00 0.01 0.00 0.02 0.06 0.06 0.24 0.09 0.35 0.17 2.47 8.01   0
